Date,Account,Description,Category,Tags,Amount
2019-10-22,"Chase Savings - Ending in 7709","Capital One","Deposits",,0.04
2019-10-22,"Chase Savings - Ending in 7709","Ally Bank","Transfers",,-40000
2019-10-22,"Chase Savings - Ending in 7709","Online Transfer From Chk ...1220transaction#: Xxxxxx2680","Transfers",,19999.2
2019-10-22,"Chase Savings - Ending in 7709","Capital One","Deposits",,0.14
2019-10-22,"Sapphire Reserve","Southwest Airlines","Travel",,305.48
2019-10-22,"Sapphire Reserve","Payment Thank You - Web","Credit Card Payments",,1000
2019-10-22,"Sapphire Reserve","Southwest Airlines","Travel",,-305.48
2019-10-22,"Sapphire Reserve","Mcdonald's","Restaurants",,-8.56
2019-10-22,"Sapphire Reserve","Southwest Airlines","Travel",,-916.44
2019-10-21,"Sapphire Reserve","Chipotle Mexican Grill","Restaurants",,-8.36
2019-10-21,"Sapphire Reserve","H-mart","Groceries",,-6.11
2019-10-21,"Sapphire Reserve","H-mart","Groceries",,-13.14
2019-10-21,"Freedom Unlimited","Payment Thank You - Web","Credit Card Payments",,387.82
2019-10-21,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-387.82
2019-10-21,"Chase Savings - Ending in 7709","Federal Interest Withheld","Service Charges/Fees",,-0.04
2019-10-21,"Chase Savings - Ending in 7709","Interest Payment","Interest",,0.18
2019-10-20,"Venmo Bank Account","Quan Dinh Paid Quang Tran","Other Income",,898.11
2019-10-20,"Sapphire Reserve","Cracker Barrel","Restaurants",,-13.97
2019-10-20,"Sapphire Reserve","Apple","Groceries",,-30.99
2019-10-20,"Sapphire Reserve","Apple","Groceries",,-4.33
2019-10-20,"Freedom Unlimited","Apple","Electronics",,-387.82
2019-10-19,"Venmo Bank Account","Quang Tran Paid Kam Yan Chan","Restaurants",,-13
2019-10-19,"Venmo Bank Account","Square","Restaurants",,-6
2019-10-18,"Total Checking - Ending in 1220","Apple","Paychecks/Salary",,6540
2019-10-17,"Venmo Bank Account","Paypal","Other Income",,33
2019-10-17,"Venmo Bank Account","Uber Eats","Restaurants",,-36.65
2019-10-17,"Venmo Bank Account","Uber Eats","Restaurants",,-4
2019-10-17,"Amazon Prime - Ending in 0790","Payment Thank You - Web","Credit Card Payments",,106.96
2019-10-17,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-106.96
2019-10-16,"Total Checking - Ending in 1220","Benefitfocus.com Other Tranppd Id: Xxxxxx9948","Other Expenses",,-0.06
2019-10-16,"Total Checking - Ending in 1220","Benefitfocus.com Other Tranppd Id: Xxxxxx9948","Paychecks/Salary",,0.06
2019-10-16,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-11.9
2019-10-16,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-43.24
2019-10-16,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-51.82
2019-10-15,"Venmo Bank Account","Duong Nguyen","Other Income",,33
2019-10-15,"Sapphire Reserve","Southwest Airlines","Travel",,-97.96
2019-10-15,"Sapphire Reserve","7-eleven","Groceries",,-4.73
2019-10-15,"Sapphire Reserve","Pho Bang Restaurant","Restaurants",,-33.36
2019-10-15,"Total Checking - Ending in 1220","Eddie Bauer","Clothing/Shoes",,-269.34
2019-10-15,"Total Checking - Ending in 1220","Banana Republic","Credit Card Payments",,-124.89
2019-10-15,"Total Checking - Ending in 1220","Atm Withdrawalxx5711 10/x3720 W Ren","ATM/Cash",,-300
2019-10-15,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-600
2019-10-14,"Venmo Bank Account","Square","Other Income",,38
2019-10-14,"Venmo Bank Account","Evelyn Le Paid Quang Tran Ti Ch I M Cho Quang Be O","Transfers",,97
2019-10-14,"Sapphire Reserve","Payment Thank You - Web","Credit Card Payments",,600
2019-10-14,"Sapphire Reserve","H-mart","Groceries",,-100.96
2019-10-14,"Sapphire Reserve","Uber","Travel",,-41.1
2019-10-14,"Sapphire Reserve","Friend Bbq.","Restaurants",,-24.37
2019-10-14,"Sapphire Reserve","Coca-cola","Groceries",,-2.5
2019-10-13,"Sapphire Reserve","Slurp Slurp Noodle.","Restaurants",,-14.04
2019-10-13,"Sapphire Reserve","Pappas Bros. Steakhouse","Restaurants",,-207.31
2019-10-13,"Sapphire Reserve","Uber","Travel",,-41.1
2019-10-11,"Citadel Retirement - X7474","Fid Us Bond Idx - Contribution","Retirement Contributions",,543.23
2019-10-11,"Citadel Retirement - X7474","Fid Intl Index - Contribution","Retirement Contributions",,543.23
2019-10-11,"Citadel Retirement - X7474","Fid 500 Index - Contribution","Retirement Contributions",,559.69
2019-10-11,"Total Checking - Ending in 1220","Citadel Securiti Direct Depppd Id: Xxxxxx1102","Paychecks/Salary",,651.78
2019-10-11,"Total Checking - Ending in 1220","Citadel Securiti Direct Depppd Id: Xxxxxx1102","Paychecks/Salary",,9810
2019-10-10,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-89.89
2019-10-10,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-86.43
2019-10-10,"Total Checking - Ending in 1220","Altairglob640cwf Altairppd Id: 7xxxx5301a","Other Income",,335.62
2019-10-10,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-70.31
2019-10-10,"Amazon Prime - Ending in 0790","Payment Thank You - Web","Credit Card Payments",,70.31
2019-10-10,"Sapphire Reserve","Payment Thank You - Web","Credit Card Payments",,86.43
2019-10-10,"Freedom Unlimited","Payment Thank You - Web","Credit Card Payments",,89.89
2019-10-09,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-7.22
2019-10-09,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-12.93
2019-10-09,"Amazon Prime - Ending in 0790","Amazon.com","Entertainment",,-10.81
2019-10-09,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-21.49
2019-10-09,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-17.86
2019-10-09,"Sapphire Reserve","State Fair","Travel",,-68
2019-10-09,"Freedom Unlimited","State Farm","Insurance",,-89.89
2019-10-08,"Venmo Bank Account","Paypal","Other Income",,21.5
2019-10-08,"Sapphire Reserve","Sizzling Pot King","Restaurants",,-31.34
2019-10-08,"Sapphire Reserve","Cvs Pharmacy","Healthcare/Medical",,-12.76
2019-10-07,"Total Checking - Ending in 1220","Paypal Inst Xfer Netflix.com Web Id: Paypalsi77","Dues & Subscriptions",,-14.06
2019-10-07,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-185
2019-10-07,"Sapphire Reserve","Uber","Travel",,-9.13
2019-10-07,"Sapphire Reserve","Jewel-osco","Groceries",,-25.84
2019-10-07,"Sapphire Reserve","Payment Thank You - Web","Credit Card Payments",,185
2019-10-07,"Sapphire Reserve","H-mart","Groceries",,-22.4
2019-10-07,"Venmo Bank Account","Evelyn Le Paid Quang Tran Vi M T G Ng M T Xinh E P","Other Income",,38
2019-10-06,"Sapphire Reserve","Sq *ca Phe ?a","Restaurants",,-52.68
2019-10-06,"Sapphire Reserve","Sq *mikolrac, Inc Campus","Education",,-4.64
2019-10-06,"Sapphire Reserve","6 - Lou Malnatis Pizzeria","Restaurants",,-39.56
2019-10-04,"Venmo Bank Account","Loc Nguyen Paid Quang Tran","Other Income",,20
2019-10-04,"Total Checking - Ending in 1220","Apple","Paychecks/Salary",,1224.26
2019-10-04,"Sapphire Reserve","Popeyes Louisiana Kitchen","Restaurants",,-13.58
2019-10-03,"Total Checking - Ending in 1220","Fb *chingting Chan Cha Visa Direct Caxx9612 10/03","General Merchandise",,-6.93
2019-10-03,"Total Checking - Ending in 1220","Fb *marlenne Monroy Visa Directca Xx6197 10/03","Other Income",,-6.96
2019-10-02,"Sapphire Reserve","Bamboo Airways","Travel",,-246.37
2019-10-02,"Sapphire Reserve","Bamboo Airways","Travel",,-123.18
2019-10-01,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-30.88
2019-10-01,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-550
2019-10-01,"Total Checking - Ending in 1220","Paypal Inst Xfer Medium.com Web Id: Paypalsi77","Dues & Subscriptions",,-5
2019-10-01,"Total Checking - Ending in 1220","Venmo","Transfers",,2000
2019-10-01,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-52.48
2019-10-01,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-52.48
2019-10-01,"Amazon Prime - Ending in 0790","Payment Thank You - Web","Credit Card Payments",,52.48
2019-10-01,"Sapphire Reserve","Hing Kee Restaurant","Restaurants",,-25.16
2019-10-01,"Sapphire Reserve","Payment Thank You - Web","Credit Card Payments",,550
2019-10-01,"Sapphire Reserve","Tous Les Jours","Restaurants",,-6.34
2019-10-01,"Freedom Unlimited","Payment Thank You - Web","Credit Card Payments",,30.88
2019-09-30,"High Yield Cd 3-year - Ending in 5875","Ally Bank","Transfers",,7000
2019-09-30,"Total Checking - Ending in 1220","Counter Check","Checks",,-2
2019-09-30,"Total Checking - Ending in 1220","Counter Check","Checks",,-2
2019-09-30,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-108.32
2019-09-30,"Total Checking - Ending in 1220","Citibank","Credit Card Payments",,-182.63
2019-09-30,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-33.59
2019-09-30,"Sapphire Reserve","Georgio's","Restaurants",,-5.85
2019-09-30,"Venmo Bank Account","Linh Tang Paid Quang Tran H T N Ilusm","Other Income",,435
2019-09-30,"Venmo Bank Account","Jpmorgan","Transfers",,-2000
2019-09-29,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-20.8
2019-09-29,"Amazon Prime - Ending in 0790","Payment Thank You - Web","Credit Card Payments",,108.32
2019-09-29,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-38.04
2019-09-29,"Sapphire Reserve","Uber","Travel",,-12.78
2019-09-29,"Sapphire Reserve","Usps","Postage & Shipping",,-1.05
2019-09-29,"Sapphire Reserve","Ventra","Travel",,-110
2019-09-29,"Sapphire Reserve","Uber","Travel",,-8.85
2019-09-29,"Sapphire Reserve","Wow Bao","Restaurants",,-5.57
2019-09-29,"Freedom Unlimited","Fairplay Foods","Groceries",,-30.88
2019-09-28,"Venmo Bank Account","Splitwise","Online Services",,-25
2019-09-28,"Venmo Bank Account","Shopify","Service Charges/Fees",,-11
2019-09-27,"Total Checking - Ending in 1220","Withdrawal","Credit Card Payments",,-600
2019-09-27,"Chase Savings - Ending in 7709","Ally Bank","Other Expenses",,-7000
2019-09-27,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-107.69
2019-09-27,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-68.19
2019-09-27,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-19.42
2019-09-27,"Sapphire Reserve","Jewel-osco","Groceries",,-15.81
2019-09-27,"Sapphire Reserve","Gorditas La Tia Susy","Restaurants",,-19.64
2019-09-27,"Costco Anywhere","Online Payment, Thank You","Credit Card Payments",,182.63
2019-09-26,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-550
2019-09-26,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-600
2019-09-26,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-18
2019-09-26,"Amazon Prime - Ending in 0790","Payment Thank You - Web","Credit Card Payments",,600
2019-09-26,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-119.73
2019-09-26,"Sapphire Reserve","Payment Thank You - Web","Credit Card Payments",,550
2019-09-26,"Sapphire Reserve","Toco Toco Tea","Restaurants",,-16.31
2019-09-26,"Sapphire Reserve","Uber","Travel",,-52.29
2019-09-26,"Sapphire Reserve","Uber","Travel",,-39.39
2019-09-26,"Sapphire Reserve","American Airlines","Travel",,-30
2019-09-26,"Freedom Unlimited","Payment Thank You - Web","Credit Card Payments",,18
2019-09-26,"Securities - Ending in 6900","Interest On Cash Balance - At 0.029% 08/26 Thru 09/18","Investment Income",,0.01
2019-09-25,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-214.19
2019-09-25,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-47.41
2019-09-25,"Sapphire Reserve","Tous Les Jours","Restaurants",,-14.05
2019-09-25,"Sapphire Reserve","Txtag","Travel",,-20
2019-09-25,"Sapphire Reserve","La Me Restaurant","Restaurants",,-38.59
2019-09-25,"Freedom Unlimited","Glamour Hair Salon","Personal Care",,-18
2019-09-25,"Venmo Bank Account","Evelyn Le Paid Quang Tran Costco","Other Income",,146
2019-09-24,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-13.53
2019-09-24,"Sapphire Reserve","King's Noodle","Restaurants",,-20.86
2019-09-24,"Sapphire Reserve","Ikea","General Merchandise",,-6.48
2019-09-24,"Sapphire Reserve","Bulla Gastrobar","Restaurants",,-217.15
2019-09-24,"Sapphire Reserve","H-mart","Groceries",,-60.92
2019-09-24,"Costco Anywhere","Costco Gas Stations","Gasoline/Fuel",,-19.61
2019-09-24,"Costco Anywhere","Costco Whse #1266 Dallas Tx","Groceries",,-145.86
2019-09-24,"Total Checking - Ending in 1220","Altairglob640cwf Altairppd Id: 7xxxx5301a","Other Income",,1476.38
2019-09-23,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-1450
2019-09-23,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-635.58
2019-09-23,"Total Checking - Ending in 1220","Zelle","Credit Card Payments",,-600
2019-09-23,"Sapphire Reserve","Garden Restaurant","Restaurants",,-38.72
2019-09-23,"Sapphire Reserve","Amorino","Clothing/Shoes",,-6.47
2019-09-23,"Freedom Unlimited","Apple","Electronics",,-635.58
2019-09-22,"Venmo Bank Account","Paypal","Other Income",,5
2019-09-22,"Venmo Bank Account","Huy Nguyen","Deposits",,5
2019-09-22,"Venmo Bank Account","Square","Home Maintenance",,-1.9
2019-09-22,"Venmo Bank Account","Square","Other Expenses",,-1.7
2019-09-22,"Venmo Bank Account","Tung Vu Paid Quang Tran Vclm","Other Income",,3.59
2019-09-22,"Venmo Bank Account","Square","Other Expenses",,-22.7
2019-09-22,"Venmo Bank Account","Square","Other Income",,2.35
2019-09-22,"Venmo Bank Account","Trang Nguyen Paid Quang Tran","Other Income",,31
2019-09-22,"Venmo Bank Account","Hoang Nguyen","Deposits",,31
2019-09-22,"Venmo Bank Account","Paypal","Deposits",,62
2019-09-22,"Venmo Bank Account","Loc Nguyen Paid Quang Tran","Other Income",,31
2019-09-22,"Amazon Prime - Ending in 0790","Whole Foods Market","Groceries",,-25.73
2019-09-22,"Sapphire Reserve","Southwest Airlines","Travel",,-78.98
2019-09-22,"Sapphire Reserve","Saigon Block Restaurant","Restaurants",,-22.72
2019-09-22,"Sapphire Reserve","Payment Thank You - Web","Credit Card Payments",,1450
2019-09-22,"Sapphire Reserve","Sweet Firefly","Restaurants",,-8.77
2019-09-22,"Sapphire Reserve","Chase Travel","Travel",,-597.17
2019-09-22,"Sapphire Reserve","Delta Air Lines","Travel",,-677.1
2019-09-22,"Freedom Unlimited","Apple","Electronics",,-361.26
2019-09-22,"Freedom Unlimited","Payment Thank You - Web","Credit Card Payments",,635.58
2019-09-21,"Venmo Bank Account","Square","Other Income",,5
2019-09-20,"Costco Anywhere","Costco Gas Stations","Gasoline/Fuel",,-17.16
2019-09-20,"Total Checking - Ending in 1220","Apple","Paychecks/Salary",,1758.66
2019-09-20,"Chase Savings - Ending in 7709","Federal Interest Withheld","Service Charges/Fees",,-0.05
2019-09-20,"Chase Savings - Ending in 7709","Interest Payment","Interest",,0.23
2019-09-20,"Sapphire Reserve","Quoc Bao Bakery Lo Banh M","Restaurants",,-11.37
2019-09-19,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-361.26
2019-09-19,"Total Checking - Ending in 1220","Citibank","Credit Card Payments",,-20.13
2019-09-19,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-650
2019-09-19,"Sapphire Reserve","Wingbucket","Restaurants",,-33.97
2019-09-19,"Sapphire Reserve","Payment Thank You - Web","Credit Card Payments",,650
2019-09-19,"Sapphire Reserve","Spirit Airlines","Travel",,-127.58
2019-09-19,"Freedom Unlimited","Payment Thank You - Web","Credit Card Payments",,361.26
2019-09-18,"Sapphire Reserve","American Airlines","Transfers",,-260.6
2019-09-18,"Sapphire Reserve","Chase Travel","Travel",,-235.75
2019-09-18,"Costco Anywhere","Online Payment, Thank You","Credit Card Payments",,20.13
2019-09-16,"Venmo Bank Account","Linh Tang Paid Quang Tran","Other Income",,200
2019-09-16,"Venmo Bank Account","Evelyn Le Paid Quang Tran","Transfers",,260.6
2019-09-16,"Sapphire Reserve","My Canh Chinese Restaurant","Restaurants",,-209.32
2019-09-16,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-340
2019-09-16,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-47.7
2019-09-16,"Total Checking - Ending in 1220","Cash Redemption","Uncategorized",,24.77
2019-09-15,"Venmo Bank Account","Hue Nguyen Charged Quang Tran Hic N Y Em Pay L N 2 L N Sorry Anh Nha","Service Charges/Fees",,-16.1
2019-09-15,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-9.01
2019-09-15,"Amazon Prime - Ending in 0790","Payment Thank You - Web","Credit Card Payments",,47.7
2019-09-15,"Sapphire Reserve","Thrift City","General Merchandise",,-12.96
2019-09-15,"Sapphire Reserve","Sichuan Folk","Restaurants",,-43.39
2019-09-15,"Sapphire Reserve","Payment Thank You - Web","Credit Card Payments",,340
2019-09-14,"Venmo Bank Account","Khanh Nguyen Paid Quang Tran M C Nh","Other Income",,16.1
2019-09-14,"Venmo Bank Account","Anh Phung Paid Quang Tran Arigatou Gosaimasu","Other Income",,16.1
2019-09-14,"Venmo Bank Account","Kimberly Luan Paid Quang Tran","Other Income",,16.1
2019-09-14,"Venmo Bank Account","Phuc Tran Paid Quang Tran","Other Income",,16.1
2019-09-14,"Venmo Bank Account","Evelyn Le Paid Quang Tran","Other Income",,16.1
2019-09-14,"Venmo Bank Account","Jade Vu Paid Quang Tran Dinner","Other Income",,16.1
2019-09-14,"Venmo Bank Account","Hue Nguyen Paid Quang Tran M C Nh","Other Income",,16.1
2019-09-14,"Venmo Bank Account","Square","Other Income",,16.1
2019-09-14,"Venmo Bank Account","Nhat Ha Tran Paid Quang Tran My Canh","Other Income",,16.1
2019-09-14,"Venmo Bank Account","Paypal","Other Income",,16.1
2019-09-14,"Venmo Bank Account","Evelyn Le Paid Quang Tran M Huy","Other Income",,10
2019-09-14,"Venmo Bank Account","Duong Tien Paid Quang Tran My Canh","Other Income",,16.1
2019-09-14,"Venmo Bank Account","Grubhub","Other Income",,16.1
2019-09-14,"Venmo Bank Account","Hue Nguyen Paid Quang Tran M C Nh","Other Income",,16.1
2019-09-13,"Total Checking - Ending in 1220","International St Xxxxxxxxxx Xxxxxxxx4011 Web Id: Xxxxxx3206","Charitable Giving",,-500
2019-09-13,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-38.69
2019-09-13,"Sapphire Reserve","Zero Degrees","Restaurants",,-11.91
2019-09-13,"Sapphire Reserve","Manna Bbq","Restaurants",,-73.93
2019-09-13,"Sapphire Reserve","H-mart","Groceries",,-87.78
2019-09-13,"Sapphire Reserve","Cvs Pharmacy","Healthcare/Medical",,-9.79
2019-09-12,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-533.4
2019-09-12,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-102.22
2019-09-12,"Sapphire Reserve","Payment Thank You - Web","Credit Card Payments",,533.4
2019-09-12,"Sapphire Reserve","Steak 'n Shake","Restaurants",,-20.63
2019-09-12,"Sapphire Reserve","Spirit Airlines","Travel",,-41.29
2019-09-12,"Sapphire Reserve","United Airlines","Travel",,-123.3
2019-09-12,"Freedom Unlimited","Payment Thank You - Web","Credit Card Payments",,102.22
2019-09-11,"Venmo Bank Account","Evelyn Le Paid Quang Tran Mua Ba N Tri Th C","Other Income",,38.69
2019-09-11,"Sapphire Reserve","American Airlines","Travel",,-178.94
2019-09-11,"Sapphire Reserve","Agent Fee Xxxxxxxxx3977","Service Charges/Fees",,-35
2019-09-11,"Freedom Unlimited","State Farm","Insurance",,-102.22
2019-09-11,"Costco Anywhere","Costco Gas Stations","Gasoline/Fuel",,-20.13
2019-09-10,"Sapphire Reserve","Txtag","Travel",,-20
2019-09-09,"Sapphire Reserve","Chang Jing Korean Restaur","Restaurants",,-13.68
2019-09-09,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-50
2019-09-09,"Total Checking - Ending in 1220","Papa John's Pizza","Restaurants",,-26.51
2019-09-09,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-277.6
2019-09-08,"Amazon Prime - Ending in 0790","Payment Thank You - Web","Credit Card Payments",,277.6
2019-09-08,"Sapphire Reserve","La Madeleine","Restaurants",,-18.69
2019-09-08,"Sapphire Reserve","Payment Thank You - Web","Credit Card Payments",,50
2019-09-06,"Venmo Bank Account","Square","Other Expenses",,-15
2019-09-06,"Total Checking - Ending in 1220","Paypal Inst Xfer Netflix.com Web Id: Paypalsi77","Dues & Subscriptions",,-14.06
2019-09-06,"Total Checking - Ending in 1220","Apple","Paychecks/Salary",,1758.66
2019-09-06,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-271.1
2019-09-05,"Amazon Prime - Ending in 0790","Amazon","Entertainment",,-6.5
2019-09-05,"Sapphire Reserve","Meet fresh","Restaurants",,-10.78
2019-09-05,"Sapphire Reserve","Good Fortune Supermark","Groceries",,-8.57
2019-09-04,"Total Checking - Ending in 1220","Citibank","Credit Card Payments",,-154.81
2019-09-04,"Total Checking - Ending in 1220","Remote Online Deposit #1","Expense Reimbursement",,16.23
2019-09-03,"Venmo Bank Account","Square","Clothing/Shoes",,-8
2019-09-03,"Costco Anywhere","Online Payment, Thank You","Credit Card Payments",,154.81
2019-09-03,"Sapphire Reserve","Wingd Nut","Other Expenses",,-7.41
2019-09-03,"Total Checking - Ending in 1220","Coi","ATM/Cash",,-100
2019-09-03,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-2500
2019-09-03,"Total Checking - Ending in 1220","Paypal Inst Xfer Medium.com Web Id: Paypalsi77","Dues & Subscriptions",,-5
2019-09-03,"Total Checking - Ending in 1220","Quickpay With Zelle Payment Fromyen Le Xxxxxx1723","Transfers",,100
2019-09-03,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-97.62
2019-09-02,"Sapphire Reserve","Saigon Block Restaurant","Restaurants",,-46.49
2019-09-02,"Sapphire Reserve","H-mart","Groceries",,-16.03
2019-09-02,"Sapphire Reserve","H-mart","Groceries",,-63.84
2019-09-02,"Sapphire Reserve","Dallas Superstore","Groceries",,-81.5
2019-09-01,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-1.22
2019-09-01,"Amazon Prime - Ending in 0790","Payment Thank You - Web","Credit Card Payments",,97.62
2019-09-01,"Sapphire Reserve","H-mart","Groceries",,-34.99
2019-09-01,"Sapphire Reserve","Payment Thank You - Web","Credit Card Payments",,2500
2019-09-01,"Sapphire Reserve","T-swirl Crepe","Restaurants",,-16.22
2019-09-01,"Sapphire Reserve","Hanabi","Restaurants",,-36.4
2019-09-01,"Sapphire Reserve","Maple Leaf Diner","Restaurants",,-44
2019-09-01,"Sapphire Reserve","Apple","Electronics",,-1350.44
2019-08-30,"Costco Anywhere","Costco Gas Stations","Gasoline/Fuel",,-21.51
2019-08-30,"Costco Anywhere","Costco Whse #1266 Dallas Tx","Groceries",,-133.3
2019-08-29,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-38.96
2019-08-29,"Sapphire Reserve","Good Fortune Supermark","Groceries",,-40.69
2019-08-29,"Total Checking - Ending in 1220","Citibank","Credit Card Payments",,-64.32
2019-08-28,"Costco Anywhere","Online Payment, Thank You","Credit Card Payments",,64.32
2019-08-27,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-57.44
2019-08-27,"Sapphire Reserve","My Canh Chinese Restaurant","Restaurants",,-56.78
2019-08-27,"Sapphire Reserve","Loews Hotels","Travel",,-568.88
2019-08-26,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-981.46
2019-08-26,"Total Checking - Ending in 1220","Zelle","Transfers",,-525
2019-08-26,"Total Checking - Ending in 1220","Atm Withdrawalxx4674 08/xx2228 S We","ATM/Cash",,-500
2019-08-26,"Sapphire Reserve","The Globe Pub","Restaurants",,-9
2019-08-26,"Sapphire Reserve","Loews Hotels","Travel",,-4.4
2019-08-26,"Sapphire Reserve","Alamo Rent A Car","Travel",,-99.58
2019-08-26,"Sapphire Reserve","Parkingmeter1 Xxxxxx7901","Travel",,-6
2019-08-26,"Sapphire Reserve","Donalds Hot Dogs","Restaurants",,-10.15
2019-08-26,"Sapphire Reserve","Parkingmeter1 Xxxxxx7901","Travel",,-2
2019-08-26,"Sapphire Reserve","Payment Thank You - Web","Credit Card Payments",,981.46
2019-08-26,"Sapphire Reserve","Mcdonald's","Restaurants",,-4.3
2019-08-25,"Sapphire Reserve","Bongiorno's","Restaurants",,-33.04
2019-08-25,"Sapphire Reserve","Tuscan Hen Market","Restaurants",,-10.97
2019-08-25,"Sapphire Reserve","Dallas/fort Worth International Airport","Travel",,-33
2019-08-25,"Costco Anywhere","Marathon Petroleum","Gasoline/Fuel",,-8.71
2019-08-23,"Sapphire Reserve","Agent Fee Xxxxxxxxx6906","Service Charges/Fees",,-35
2019-08-23,"Sapphire Reserve","Sq *dimassi?s Richardson","Clothing/Shoes",,-34.49
2019-08-23,"Sapphire Reserve","85c Bakery Cafe","Restaurants",,-30.19
2019-08-23,"Sapphire Reserve","H-mart","Groceries",,-56.69
2019-08-23,"Sapphire Reserve","American Airlines","Travel",,-612.28
2019-08-23,"Costco Anywhere","Texaco","Gasoline/Fuel",,-28.05
2019-08-23,"Total Checking - Ending in 1220","Apple","Paychecks/Salary",,1758.67
